dataSetName,column,key,wanted,has
AL03DAV01_1,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03DAV01_1,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03DAV01_1,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03DAV01_1,year,gbr14CDate,GBRCD,
AL03DAV01_1,year,gbr14CDateUncertainty,GBRCD,
AL03DAV01_1,year,gbrChronologyNotes,GBRCD,
AL03DAV01_1,year,gbrDataCoverageGroup,GBRCD,
AL03DAV01_1,year,gbrIsAnomaly,GBRCD,
AL03DAV01_1,year,gbrIsDatabaseDuplicate,GBRCD,
AL03DAV01_1,year,gbrUThDate,GBRCD,
AL03DAV01_1,year,gbrUThDateUncertainty,GBRCD,
AL03DAV01_1,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03DAV01_1,year,jcpUsed,CoralHydro2k;GBRCD,
AL03DAV01_2,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03DAV01_2,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03DAV01_2,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03DAV01_2,year,gbr14CDate,GBRCD,
AL03DAV01_2,year,gbr14CDateUncertainty,GBRCD,
AL03DAV01_2,year,gbrChronologyNotes,GBRCD,
AL03DAV01_2,year,gbrDataCoverageGroup,GBRCD,
AL03DAV01_2,year,gbrIsAnomaly,GBRCD,
AL03DAV01_2,year,gbrIsDatabaseDuplicate,GBRCD,
AL03DAV01_2,year,gbrUThDate,GBRCD,
AL03DAV01_2,year,gbrUThDateUncertainty,GBRCD,
AL03DAV01_2,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03DAV01_2,year,jcpUsed,CoralHydro2k;GBRCD,
AL03PAN01_1,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03PAN01_1,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03PAN01_1,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03PAN01_1,year,gbr14CDate,GBRCD,
AL03PAN01_1,year,gbr14CDateUncertainty,GBRCD,
AL03PAN01_1,year,gbrChronologyNotes,GBRCD,
AL03PAN01_1,year,gbrDataCoverageGroup,GBRCD,
AL03PAN01_1,year,gbrIsAnomaly,GBRCD,
AL03PAN01_1,year,gbrIsDatabaseDuplicate,GBRCD,
AL03PAN01_1,year,gbrUThDate,GBRCD,
AL03PAN01_1,year,gbrUThDateUncertainty,GBRCD,
AL03PAN01_1,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03PAN01_1,year,jcpUsed,CoralHydro2k;GBRCD,
AL03PAN01_2,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03PAN01_2,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03PAN01_2,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03PAN01_2,year,gbr14CDate,GBRCD,
AL03PAN01_2,year,gbr14CDateUncertainty,GBRCD,
AL03PAN01_2,year,gbrChronologyNotes,GBRCD,
AL03PAN01_2,year,gbrDataCoverageGroup,GBRCD,
AL03PAN01_2,year,gbrIsAnomaly,GBRCD,
AL03PAN01_2,year,gbrIsDatabaseDuplicate,GBRCD,
AL03PAN01_2,year,gbrUThDate,GBRCD,
AL03PAN01_2,year,gbrUThDateUncertainty,GBRCD,
AL03PAN01_2,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03PAN01_2,year,jcpUsed,CoralHydro2k;GBRCD,
AL03PAN01_3,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03PAN01_3,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03PAN01_3,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03PAN01_3,year,gbr14CDate,GBRCD,
AL03PAN01_3,year,gbr14CDateUncertainty,GBRCD,
AL03PAN01_3,year,gbrChronologyNotes,GBRCD,
AL03PAN01_3,year,gbrDataCoverageGroup,GBRCD,
AL03PAN01_3,year,gbrIsAnomaly,GBRCD,
AL03PAN01_3,year,gbrIsDatabaseDuplicate,GBRCD,
AL03PAN01_3,year,gbrUThDate,GBRCD,
AL03PAN01_3,year,gbrUThDateUncertainty,GBRCD,
AL03PAN01_3,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03PAN01_3,year,jcpUsed,CoralHydro2k;GBRCD,
AL03PAN01_4,year,coralExtensionRate,CoralHydro2k;GBRCD,
AL03PAN01_4,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AL03PAN01_4,year,coralTissueThickness,CoralHydro2k;GBRCD,
AL03PAN01_4,year,gbr14CDate,GBRCD,
AL03PAN01_4,year,gbr14CDateUncertainty,GBRCD,
AL03PAN01_4,year,gbrChronologyNotes,GBRCD,
AL03PAN01_4,year,gbrDataCoverageGroup,GBRCD,
AL03PAN01_4,year,gbrIsAnomaly,GBRCD,
AL03PAN01_4,year,gbrIsDatabaseDuplicate,GBRCD,
AL03PAN01_4,year,gbrUThDate,GBRCD,
AL03PAN01_4,year,gbrUThDateUncertainty,GBRCD,
AL03PAN01_4,year,jcpMeasured,CoralHydro2k;GBRCD,
AL03PAN01_4,year,jcpUsed,CoralHydro2k;GBRCD,
AR24DIP01,year,coralExtensionRate,CoralHydro2k;GBRCD,
AR24DIP01,year,coralTissueThickness,CoralHydro2k;GBRCD,
AR24DIP01,year,gbr14CDate,GBRCD,
AR24DIP01,year,gbr14CDateUncertainty,GBRCD,
AR24DIP01,year,gbrChronologyNotes,GBRCD,
AR24DIP01,year,gbrDataCoverageGroup,GBRCD,
AR24DIP01,year,gbrIsAnomaly,GBRCD,
AR24DIP01,year,gbrIsDatabaseDuplicate,GBRCD,
AR24DIP01,year,gbrUThDate,GBRCD,
AR24DIP01,year,gbrUThDateUncertainty,GBRCD,
AR24DIP01,year,jcpMeasured,CoralHydro2k;GBRCD,
AR24DIP01,year,jcpUsed,CoralHydro2k;GBRCD,
AR24OTI01,year,coralExtensionRate,CoralHydro2k;GBRCD,
AR24OTI01,year,coralExtensionRateNotes,CoralHydro2k;GBRCD,
AR24OTI01,year,coralTissueThickness,CoralHydro2k;GBRCD,
AR24OTI01,year,gbr14CDate,GBRCD,
AR24OTI01,year,gbr14CDateUncertainty,GBRCD,
AR24OTI01,year,gbrChronologyNotes,GBRCD,
AR24OTI01,year,gbrDataCoverageGroup,GBRCD,
AR24OTI01,year,gbrIsAnomaly,GBRCD,
AR24OTI01,year,gbrIsDatabaseDuplicate,GBRCD,
AR24OTI01,year,gbrUThDate,GBRCD,
AR24OTI01,year,gbrUThDateUncertainty,GBRCD,
AR24OTI01,year,jcpMeasured,CoralHydro2k;GBRCD,
AR24OTI01,year,jcpUsed,CoralHydro2k;GBRCD,
AR24OTI02,year,coralExtensionRate,CoralHydro2k;GBRCD,
AR24OTI02,year,coralTissueThickness,CoralHydro2k;GBRCD,
AR24OTI02,year,gbr14CDate,GBRCD,
