dataSetName,column,key,wanted,has
117_723A.Godad.2011,d18O,temp12kDkIndex,Temp12k,
161_976.Martrat.2014,C37Alkenone,temp12kDkIndex,Temp12k,
161_976.Martrat.2014,sampleID,temp12kDkIndex,Temp12k,
161_976.Martrat.2014,d18O,temp12kDkIndex,Temp12k,
161_976.Martrat.2014,Mg/Ca,temp12kDkIndex,Temp12k,
165_1002C.Herbert.2000,sampleID,temp12kDkIndex,Temp12k,
165_1002C.Herbert.2000,Uk37,temp12kDkIndex,Temp12k,
165_1002C.Herbert.2000,C37Alkenone,temp12kDkIndex,Temp12k,
165_1002C.Herbert.2000,sampleID,temp12kDkIndex,Temp12k,
165_1002C.Herbert.2000,d18O,temp12kDkIndex,Temp12k,
1670,d18O,temp12kDkIndex,Temp12k,
1670,d13C,temp12kDkIndex,Temp12k,
1670,temperature,QCCertification,HoloceneAbruptChange,
1670,temperature,QCnotes,HoloceneAbruptChange,
1670,temperature,temp12kDkIndex,Temp12k,
18287-3.Kienast.2001,Uk37,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,age,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,age,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,depth,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,seaIce,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,seaIce-1,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,productivity,temp12kDkIndex,Temp12k,
2004-804-009-PC.Ledu.2008,boron,temp12kDkIndex,Temp12k,
2005-804-006.Ledu.2010,age,useInOnset,HoloceneAbruptChange,
2005-804-006.Ledu.2010,depth,useInOnset,HoloceneAbruptChange,
2005-804-006.Ledu.2010,productivity,useInOnset,HoloceneAbruptChange,RapidArcticWarming
2005-804-006.Ledu.2010,age,useInOnset,HoloceneAbruptChange,
