tsid,dataSetName,class,suggested_action,suggested_value,decision,sheet_value,csm_value,flat_private,flat_shared,is_member,sheet_membership,on_qc_tab,file_value_in_sheet_vocabulary
LS01HOCH,LS01HOCH,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS03RUED,LS03RUED,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS05HOAG01,LS05HOAG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS05HOAG02,LS05HOAG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS05HOAG03,LS05HOAG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS06STFO,LS06STFO,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS07LAHA,LS07LAHA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS07ROTI,LS07ROTI,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS08STCR,LS08STCR,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS10HEQI01a,LS10HEQI,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS11BIPU01a,LS11BIPU,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS11NECA,LS11NECA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS13STEL,LS13STEL,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS14LESA01a,LS14LESA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS14PRLO01a,LS14PRLO,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS15BHAL,LS15BHAL,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
WEBab3eac63,LS17STNU01,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS91HOMI,LS91HOMI,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS96VOAM01_iso2k,LS96VOAM,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
LS97HOKA1a,LS97HOKA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,MJ,,,TRUE,TRUE,TRUE,TRUE
WEB8e0a7386,Bunkercave.Fohlmeister.2012,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,CH,,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_006_iso2k,CO03CHBA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_171_iso2k,CO03CHBU,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO04MGNG01A,CO04MGNG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_107_iso2k,CO06MOPE,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_110_iso2k,CO06MOTO,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_193_iso2k,CO07CAFR,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_162_iso2k,CO11NUPM,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_154_iso2k,CO12GOVA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
WEB396032ca,CO13DESC01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
WEBa131bf7e,CO13DESC01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO13HENG02A,CO13HENG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO13HENG03A,CO13HENG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO14CABT01B,CO14CABT,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
CO14CABT01B2,CO14CABT,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
CO14CATI01B,CO14CATI,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_181_iso2k,CO14OSPA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_183_iso2k,CO14OSPA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
WEB832ffc0e,CO17DESC01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
WEBe86ec079,CO17DESC01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
WEB832ffc0e222,CO17DESC04A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
WEBe86ec079222,CO17DESC04A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
WEB1a9fc096,CO17MUMA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (12/30/19),,,TRUE,TRUE,TRUE,FALSE
WEB0e874eb3,CO17RAPA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
WEB9aced55a,CO17RAPA,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
WEBa131bf7e2,CO17XISC01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
WEBc0eedb9c,CO18HECO01A,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_178_iso2k,CO93COTW,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_138_iso2k,CO94LISE,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19); KLD,,,TRUE,TRUE,TRUE,FALSE
Ocean2kHR_172_iso2k,CO95TUNG,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19; updated 12/31/19),,,TRUE,TRUE,TRUE,FALSE
CO96SWBB01A,CO96SWBB,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO96SWFB01A,CO96SWFB,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
CO98SWPR01A,CO98SWPR,"csm only, sheet never had it",remove from hydroclimate2k csm; not this compilation's value,,,,DMT (1/14/19),,,TRUE,TRUE,TRUE,FALSE
