dataSetName,datasetId,TSid,field_path,class,old_value,new_value
AB08MEN01,ch2kAB08MEN01,,archiveType,differs,coral,Coral
AB15BHB01,ch2kAB15BHB01,,archiveType,differs,coral,Coral
AB20MEN01,ch2kAB20MEN01,,archiveType,differs,coral,Coral
AB20MEN02,ch2kAB20MEN02,,archiveType,differs,coral,Coral
AB20MEN03,ch2kAB20MEN03,,archiveType,differs,coral,Coral
AB20MEN04,ch2kAB20MEN04,,archiveType,differs,coral,Coral
AB20MEN05,ch2kAB20MEN05,,archiveType,differs,coral,Coral
AB20MEN06,ch2kAB20MEN06,,archiveType,differs,coral,Coral
AB20MEN07,ch2kAB20MEN07,,archiveType,differs,coral,Coral
AB20MEN08,ch2kAB20MEN08,,archiveType,differs,coral,Coral
AB20MEN09,ch2kAB20MEN09,,archiveType,differs,coral,Coral
AL16PUR01,ch2kAL16PUR01,,archiveType,differs,coral,Coral
AL16PUR02,ch2kAL16PUR02,,archiveType,differs,coral,Coral
AL16YUC01,ch2kAL16YUC01,,archiveType,differs,coral,Coral
AS05GUA01,ch2kAS05GUA01,,archiveType,differs,coral,Coral
BA04FIJ01,ch2kBA04FIJ01,,archiveType,differs,coral,Coral
BA04FIJ02,ch2kBA04FIJ02,,archiveType,differs,coral,Coral
BO14HTI01,ch2kBO14HTI01,,archiveType,differs,coral,Coral
BO14HTI02,ch2kBO14HTI02,,archiveType,differs,coral,Coral
BO99MOO01,ch2kBO99MOO01,,archiveType,differs,coral,Coral
BR19RED01,ch2kBR19RED01,,archiveType,differs,coral,Coral
CA07FLI01,ch2kCA07FLI01,,archiveType,differs,coral,Coral
CA13DIA01,ch2kCA13DIA01,,archiveType,differs,coral,Coral
CA13PEL01,ch2kCA13PEL01,,archiveType,differs,coral,Coral
CA13SAP01,ch2kCA13SAP01,,archiveType,differs,coral,Coral
CA13TUR01,ch2kCA13TUR01,,archiveType,differs,coral,Coral
CA14BUT01,ch2kCA14BUT01,,archiveType,differs,coral,Coral
CA14TIM01,ch2kCA14TIM01,,archiveType,differs,coral,Coral
CH03BUN01,ch2kCH03BUN01,,archiveType,differs,coral,Coral
CH03LOM01,ch2kCH03LOM01,,archiveType,differs,coral,Coral
CH18YOA01,ch2kCH18YOA01,,archiveType,differs,coral,Coral
CH18YOA02,ch2kCH18YOA02,,archiveType,differs,coral,Coral
CH97BVB01,ch2kCH97BVB01,,archiveType,differs,coral,Coral
CH98PIR01,ch2kCH98PIR01,,archiveType,differs,coral,Coral
CO00MAL01,ch2kCO00MAL01,,archiveType,differs,coral,Coral
CO03PAL01,ch2kCO03PAL01,,archiveType,differs,coral,Coral
CO03PAL02,ch2kCO03PAL02,,archiveType,differs,coral,Coral
CO03PAL03,ch2kCO03PAL03,,archiveType,differs,coral,Coral
CO03PAL04,ch2kCO03PAL04,,archiveType,differs,coral,Coral
CO03PAL05,ch2kCO03PAL05,,archiveType,differs,coral,Coral
CO03PAL06,ch2kCO03PAL06,,archiveType,differs,coral,Coral
CO03PAL07,ch2kCO03PAL07,,archiveType,differs,coral,Coral
CO03PAL08,ch2kCO03PAL08,,archiveType,differs,coral,Coral
CO03PAL09,ch2kCO03PAL09,,archiveType,differs,coral,Coral
CO03PAL10,ch2kCO03PAL10,,archiveType,differs,coral,Coral
CO93TAR01,ch2kCO93TAR01,,archiveType,differs,coral,Coral
DA06MAF01,ch2kDA06MAF01,,archiveType,differs,coral,Coral
DA06MAF02,ch2kDA06MAF02,,archiveType,differs,coral,Coral
DE12ANC01,ch2kDE12ANC01,,archiveType,differs,coral,Coral
DE13HAI01,ch2kDE13HAI01,,archiveType,differs,coral,Coral
DE14DTO01,ch2kDE14DTO01,,archiveType,differs,coral,Coral
DE14DTO02,ch2kDE14DTO02,,archiveType,differs,coral,Coral
DE14DTO03,ch2kDE14DTO03,,archiveType,differs,coral,Coral
DE14DTO04,ch2kDE14DTO04,,archiveType,differs,coral,Coral
DE16RED01,ch2kDE16RED01,,archiveType,differs,coral,Coral
DO18DAV01,ch2kDO18DAV01,,archiveType,differs,coral,Coral
DR00KSB01,ch2kDR00KSB01,,archiveType,differs,coral,Coral
DR00NBB01,ch2kDR00NBB01,,archiveType,differs,coral,Coral
DR99ABR01,ch2kDR99ABR01,,archiveType,differs,coral,Coral
DU94URV01,ch2kDU94URV01,,archiveType,differs,coral,Coral
DU94URV02,ch2kDU94URV02,,archiveType,differs,coral,Coral
EV18ROC01,ch2kEV18ROC01,,archiveType,differs,coral,Coral
EV98KIR01,ch2kEV98KIR01,,archiveType,differs,coral,Coral
FE09OGA01,ch2kFE09OGA01,,archiveType,differs,coral,Coral
FE18RUS01,ch2kFE18RUS01,,archiveType,differs,coral,Coral
FL17DTO01,ch2kFL17DTO01,,archiveType,differs,coral,Coral
FL17DTO02,ch2kFL17DTO02,,archiveType,differs,coral,Coral
FL18DTO01,ch2kFL18DTO01,,archiveType,differs,coral,Coral
FL18DTO02,ch2kFL18DTO02,,archiveType,differs,coral,Coral
FL18DTO03,ch2kFL18DTO03,,archiveType,differs,coral,Coral
FL18DTO04,ch2kFL18DTO04,,archiveType,differs,coral,Coral
GO08BER01,ch2kGO08BER01,,archiveType,differs,coral,Coral
GO12SBV01,ch2kGO12SBV01,,archiveType,differs,coral,Coral
GR13MAD01,ch2kGR13MAD01,,archiveType,differs,coral,Coral
GR13MAD02,ch2kGR13MAD02,,archiveType,differs,coral,Coral
GU99NAU01,ch2kGU99NAU01,,archiveType,differs,coral,Coral
GU99NAU02,ch2kGU99NAU02,,archiveType,differs,coral,Coral
HE02GBR01,ch2kHE02GBR01,,archiveType,differs,coral,Coral
HE08LRA01,ch2kHE08LRA01,,archiveType,differs,coral,Coral
HE10GUA01,ch2kHE10GUA01,,archiveType,differs,coral,Coral
HE13MIS01,ch2kHE13MIS01,,archiveType,differs,coral,Coral
HE13MIS02,ch2kHE13MIS02,,archiveType,differs,coral,Coral
HE18COC01,ch2kHE18COC01,,archiveType,differs,coral,Coral
HE18COC02,ch2kHE18COC02,,archiveType,differs,coral,Coral
JI18GAL01,ch2kJI18GAL01,,archiveType,differs,coral,Coral
JI18GAL02,ch2kJI18GAL02,,archiveType,differs,coral,Coral
KA17RYU01,ch2kKA17RYU01,,archiveType,differs,coral,Coral
KI04MCV01,ch2kKI04MCV01,,archiveType,differs,coral,Coral
KI08PAR01,ch2kKI08PAR01,,archiveType,differs,coral,Coral
KI14PAR01,ch2kKI14PAR01,,archiveType,differs,coral,Coral
KL97DAH01,ch2kKL97DAH01,,archiveType,differs,coral,Coral
KR20SAR01,ch2kKR20SAR01,,archiveType,differs,coral,Coral
KR20SAR02,ch2kKR20SAR02,,archiveType,differs,coral,Coral
KU00NIN01,ch2kKU00NIN01,,archiveType,differs,coral,Coral
KU99HOU01,ch2kKU99HOU01,,archiveType,differs,coral,Coral
LI00RAR01,ch2kLI00RAR01,,archiveType,differs,coral,Coral
LI04FIJ01,ch2kLI04FIJ01,,archiveType,differs,coral,Coral
LI06FIJ01,ch2kLI06FIJ01,,archiveType,differs,coral,Coral
LI06RAR01,ch2kLI06RAR01,,archiveType,differs,coral,Coral
LI06RAR02,ch2kLI06RAR02,,archiveType,differs,coral,Coral
LI94SEC01,ch2kLI94SEC01,,archiveType,differs,coral,Coral
LI99CLI01,ch2kLI99CLI01,,archiveType,differs,coral,Coral
MA08DTO01,ch2kMA08DTO01,,archiveType,differs,coral,Coral
MC04PNG01,ch2kMC04PNG01,,archiveType,differs,coral,Coral
MC11KIR01,ch2kMC11KIR01,,archiveType,differs,coral,Coral
MO06PED01,ch2kMO06PED01,,archiveType,differs,coral,Coral
MO20KOI01,ch2kMO20KOI01,,archiveType,differs,coral,Coral
